id_tutoria,id_estudiante,id_docente,fecha,hora,modalidad,tema_tratado,actividades,compromisos,proxima_tutoria,asistencia,observaciones
1,112,104,2026-04-27,9:00,Virtual,Control de avances del borrador,Se revisaron los avances presentados por el estudiante.,Corregir observaciones y presentar nuevo avance.,2026-05-04,Asistió,Registro generado desde CSV.
2,13,108,2026-05-10,10:00,Virtual,Control de avances del borrador,Se revisaron los avances presentados por el estudiante.,Corregir observaciones y presentar nuevo avance.,2026-05-17,Justificado,Registro generado desde CSV.
3,16,98,2026-04-08,11:00,Virtual,Corrección del marco teórico,Se revisaron los avances presentados por el estudiante.,Corregir observaciones y presentar nuevo avance.,2026-04-15,Justificado,Registro generado desde CSV.
4,98,67,2026-04-14,10:00,Presencial,Control de avances del borrador,Se revisaron los avances presentados por el estudiante.,Corregir observaciones y presentar nuevo avance.,2026-04-21,No asistió,Registro generado desde CSV.
5,112,104,2026-04-25,11:00,Virtual,Corrección del marco teórico,Se revisaron los avances presentados por el estudiante.,Corregir observaciones y presentar nuevo avance.,2026-05-02,Asistió,Registro generado desde CSV.
6,145,28,2026-05-28,17:00,Presencial,Corrección del marco teórico,Se revisaron los avances presentados por el estudiante.,Corregir observaciones y presentar nuevo avance.,2026-06-04,No asistió,Registro generado desde CSV.
7,161,104,2026-06-10,15:00,Virtual,Revisión del planteamiento del problema,Se revisaron los avances presentados por el estudiante.,Corregir observaciones y presentar nuevo avance.,2026-06-17,Asistió,Registro generado desde CSV.
8,125,42,2026-03-06,12:00,Virtual,Control de avances del borrador,Se revisaron los avances presentados por el estudiante.,Corregir observaciones y presentar nuevo avance.,2026-03-13,Asistió,Registro generado desde CSV.
9,107,61,2026-05-24,10:00,Virtual,Revisión de objetivos y justificación,Se revisaron los avances presentados por el estudiante.,Corregir observaciones y presentar nuevo avance.,2026-05-31,Justificado,Registro generado desde CSV.
10,104,87,2026-03-15,15:00,Presencial,Revisión de metodología,Se revisaron los avances presentados por el estudiante.,Corregir observaciones y presentar nuevo avance.,2026-03-22,No asistió,Registro generado desde CSV.
11,2,113,2026-06-03,12:00,Presencial,Control de avances del borrador,Se revisaron los avances presentados por el estudiante.,Corregir observaciones y presentar nuevo avance.,2026-06-10,Justificado,Registro generado desde CSV.
12,7,32,2026-03-18,10:00,Virtual,Revisión del planteamiento del problema,Se revisaron los avances presentados por el estudiante.,Corregir observaciones y presentar nuevo avance.,2026-03-25,Justificado,Registro generado desde CSV.
13,149,44,2026-04-11,9:00,Virtual,Revisión de metodología,Se revisaron los avances presentados por el estudiante.,Corregir observaciones y presentar nuevo avance.,2026-04-18,Asistió,Registro generado desde CSV.
14,127,64,2026-04-06,11:00,Presencial,Revisión de metodología,Se revisaron los avances presentados por el estudiante.,Corregir observaciones y presentar nuevo avance.,2026-04-13,Asistió,Registro generado desde CSV.
15,28,69,2026-05-09,11:00,Virtual,Revisión de metodología,Se revisaron los avances presentados por el estudiante.,Corregir observaciones y presentar nuevo avance.,2026-05-16,Asistió,Registro generado desde CSV.
16,165,91,2026-03-10,8:00,Virtual,Control de avances del borrador,Se revisaron los avances presentados por el estudiante.,Corregir observaciones y presentar nuevo avance.,2026-03-17,Asistió,Registro generado desde CSV.
