id_asignacion,id_estudiante,id_docente,fecha_asignacion,estado,observaciones
1,136,111,2026-03-05,Asignado,Tutor asignado según disponibilidad académica.
2,121,66,2026-04-08,Asignado,Tutor asignado según disponibilidad académica.
3,168,41,2026-02-15,Asignado,Tutor asignado según disponibilidad académica.
4,98,67,2026-04-19,Asignado,Tutor asignado según disponibilidad académica.
5,52,7,2026-04-08,Asignado,Tutor asignado según disponibilidad académica.
6,193,94,2026-03-28,Asignado,Tutor asignado según disponibilidad académica.
7,133,88,2026-03-01,Asignado,Tutor asignado según disponibilidad académica.
8,123,28,2026-04-26,Asignado,Tutor asignado según disponibilidad académica.
9,199,52,2026-04-16,Asignado,Tutor asignado según disponibilidad académica.
10,61,19,2026-03-01,Asignado,Tutor asignado según disponibilidad académica.
11,147,31,2026-03-30,Asignado,Tutor asignado según disponibilidad académica.
12,112,104,2026-04-30,Asignado,Tutor asignado según disponibilidad académica.
13,161,104,2026-04-27,Asignado,Tutor asignado según disponibilidad académica.
14,172,103,2026-03-10,Asignado,Tutor asignado según disponibilidad académica.
15,26,61,2026-03-30,Asignado,Tutor asignado según disponibilidad académica.
16,99,89,2026-03-28,Asignado,Tutor asignado según disponibilidad académica.
17,156,59,2026-03-17,Asignado,Tutor asignado según disponibilidad académica.
18,68,94,2026-02-19,Asignado,Tutor asignado según disponibilidad académica.
19,89,25,2026-04-16,Asignado,Tutor asignado según disponibilidad académica.
20,140,65,2026-02-18,Asignado,Tutor asignado según disponibilidad académica.
21,6,73,2026-02-16,Asignado,Tutor asignado según disponibilidad académica.
22,28,69,2026-02-21,Asignado,Tutor asignado según disponibilidad académica.
23,191,21,2026-04-05,Asignado,Tutor asignado según disponibilidad académica.
24,130,60,2026-04-13,Asignado,Tutor asignado según disponibilidad académica.
25,58,17,2026-03-15,Asignado,Tutor asignado según disponibilidad académica.
26,40,36,2026-04-09,Asignado,Tutor asignado según disponibilidad académica.
27,195,42,2026-03-22,Asignado,Tutor asignado según disponibilidad académica.
28,76,64,2026-03-07,Asignado,Tutor asignado según disponibilidad académica.
29,141,29,2026-03-24,Asignado,Tutor asignado según disponibilidad académica.
30,18,82,2026-04-09,Asignado,Tutor asignado según disponibilidad académica.
31,197,100,2026-04-26,Asignado,Tutor asignado según disponibilidad académica.
32,65,35,2026-02-16,Asignado,Tutor asignado según disponibilidad académica.
33,124,16,2026-03-13,Asignado,Tutor asignado según disponibilidad académica.
34,97,38,2026-02-20,Asignado,Tutor asignado según disponibilidad académica.
35,105,63,2026-02-28,Asignado,Tutor asignado según disponibilidad académica.
36,22,52,2026-03-07,Asignado,Tutor asignado según disponibilidad académica.
37,153,36,2026-02-26,Asignado,Tutor asignado según disponibilidad académica.
38,17,22,2026-03-04,Asignado,Tutor asignado según disponibilidad académica.
39,202,14,2026-03-29,Asignado,Tutor asignado según disponibilidad académica.
40,32,20,2026-03-28,Asignado,Tutor asignado según disponibilidad académica.
41,128,51,2026-02-24,Asignado,Tutor asignado según disponibilidad académica.
42,181,62,2026-03-30,Asignado,Tutor asignado según disponibilidad académica.
43,173,58,2026-04-07,Asignado,Tutor asignado según disponibilidad académica.
44,11,85,2026-04-01,Asignado,Tutor asignado según disponibilidad académica.
45,164,53,2026-03-06,Asignado,Tutor asignado según disponibilidad académica.
46,36,47,2026-02-17,Asignado,Tutor asignado según disponibilidad académica.
47,73,87,2026-04-27,Asignado,Tutor asignado según disponibilidad académica.
48,10,68,2026-02-26,Asignado,Tutor asignado según disponibilidad académica.
49,111,95,2026-04-21,Asignado,Tutor asignado según disponibilidad académica.
50,205,70,2026-03-31,Asignado,Tutor asignado según disponibilidad académica.
51,37,99,2026-04-29,Asignado,Tutor asignado según disponibilidad académica.
52,206,67,2026-03-11,Asignado,Tutor asignado según disponibilidad académica.
