id_tema,id_estudiante,titulo,linea_investigacion,descripcion,fecha_propuesta,estado,observaciones
1,209,Sistema de seguimiento para trabajos de titulación en Ingeniería Agropecuaria,Ciencias de la vida y tecnologías,Tema académico registrado para el proceso de titulación.,2026-04-18,Aprobado,Registro generado desde CSV con carreras y semestres ULEAM.
2,82,Evaluación de herramientas digitales para la gestión de titulación en Ingeniería en Software,Ciencias de la vida y tecnologías,Tema académico registrado para el proceso de titulación.,2026-02-28,Aprobado,Registro generado desde CSV con carreras y semestres ULEAM.
3,149,Evaluación de herramientas digitales para la gestión de titulación en Educación Especial,Gestión académica y documental,Tema académico registrado para el proceso de titulación.,2026-02-03,Aprobado,Registro generado desde CSV con carreras y semestres ULEAM.
4,119,Sistema de seguimiento para trabajos de titulación en Ingeniería Industrial,Innovación tecnológica,Tema académico registrado para el proceso de titulación.,2026-04-07,Observado,Registro generado desde CSV con carreras y semestres ULEAM.
5,51,Análisis del proceso académico en la carrera de Terapia Ocupacional,"Derecho, sociedad y bienestar",Tema académico registrado para el proceso de titulación.,2026-03-02,Aprobado,Registro generado desde CSV con carreras y semestres ULEAM.
6,66,Análisis del proceso académico en la carrera de Pedagogía de los Idiomas Nacionales y Extranjeros,"Educación, turismo y humanidades",Tema académico registrado para el proceso de titulación.,2026-02-17,Aprobado,Registro generado desde CSV con carreras y semestres ULEAM.
7,141,Sistema de seguimiento para trabajos de titulación en Administración de Empresas,Gestión académica y documental,Tema académico registrado para el proceso de titulación.,2026-05-01,Observado,Registro generado desde CSV con carreras y semestres ULEAM.
8,186,Propuesta de intervención académica aplicada a Mercadotecnia,Desarrollo sostenible,Tema académico registrado para el proceso de titulación.,2026-02-27,Observado,Registro generado desde CSV con carreras y semestres ULEAM.
9,24,Propuesta de intervención académica aplicada a Hospitalidad y Hotelería,Innovación tecnológica,Tema académico registrado para el proceso de titulación.,2026-04-04,Aprobado,Registro generado desde CSV con carreras y semestres ULEAM.
10,36,Estudio de mejora de procesos académicos en Ingeniería Ambiental,"Derecho, sociedad y bienestar",Tema académico registrado para el proceso de titulación.,2026-02-02,Pendiente,Registro generado desde CSV con carreras y semestres ULEAM.
11,69,Sistema de seguimiento para trabajos de titulación en Artes Plásticas,Innovación tecnológica,Tema académico registrado para el proceso de titulación.,2026-03-09,Observado,Registro generado desde CSV con carreras y semestres ULEAM.
12,31,Estudio de mejora de procesos académicos en Ingeniería Industrial,"Educación, turismo y humanidades",Tema académico registrado para el proceso de titulación.,2026-03-09,Pendiente,Registro generado desde CSV con carreras y semestres ULEAM.
13,117,Sistema de seguimiento para trabajos de titulación en Electricidad,Innovación tecnológica,Tema académico registrado para el proceso de titulación.,2026-03-30,Pendiente,Registro generado desde CSV con carreras y semestres ULEAM.
14,176,Análisis del proceso académico en la carrera de Comunicación,"Educación, turismo y humanidades",Tema académico registrado para el proceso de titulación.,2026-04-23,Observado,Registro generado desde CSV con carreras y semestres ULEAM.
15,175,Propuesta de intervención académica aplicada a Trabajo Social,Ciencias de la vida y tecnologías,Tema académico registrado para el proceso de titulación.,2026-03-12,Observado,Registro generado desde CSV con carreras y semestres ULEAM.
