id_avance,id_estudiante,numero_avance,tipo_documento,fecha_entrega,estado,comentario_tutor,archivo,fecha_revision
1,177,4,Borrador parcial,2026-03-18,Aprobado,Debe mejorar redacción y coherencia.,avance_1.pdf,2026-03-21
2,133,2,Propuesta de tema,2026-05-29,Pendiente,Debe mejorar redacción y coherencia.,avance_2.pdf,2026-06-04
3,69,1,Capítulo III,2026-04-26,Aprobado,Documento revisado con observaciones menores.,avance_3.pdf,2026-05-04
4,124,1,Propuesta de tema,2026-05-31,Pendiente,Documento revisado con observaciones menores.,avance_4.pdf,2026-06-07
5,43,2,Trabajo final,2026-04-02,Observado,Se recomienda ampliar la fundamentación teórica.,avance_5.pdf,2026-04-06
6,52,6,Capítulo III,2026-03-20,Entregado,Revisión registrada por el docente tutor.,avance_6.pdf,2026-03-23
7,12,2,Capítulo I,2026-03-13,Observado,Documento revisado con observaciones menores.,avance_7.pdf,2026-03-16
8,117,3,Propuesta de tema,2026-05-15,Corregido,Se recomienda ampliar la fundamentación teórica.,avance_8.pdf,2026-05-23
9,51,6,Capítulo III,2026-05-05,Entregado,Avance aceptado para continuar el proceso.,avance_9.pdf,2026-05-14
10,35,3,Trabajo final,2026-06-29,Corregido,Debe mejorar redacción y coherencia.,avance_10.pdf,2026-07-08
11,199,2,Capítulo I,2026-05-24,Pendiente,Debe mejorar redacción y coherencia.,avance_11.pdf,2026-06-01
12,68,1,Propuesta de tema,2026-05-25,Entregado,Se recomienda ampliar la fundamentación teórica.,avance_12.pdf,2026-06-01
13,119,4,Capítulo III,2026-04-15,Observado,Documento revisado con observaciones menores.,avance_13.pdf,2026-04-21
14,87,3,Borrador final,2026-05-14,Corregido,Revisión registrada por el docente tutor.,avance_14.pdf,2026-05-20
15,135,4,Borrador parcial,2026-04-27,Pendiente,Se recomienda ampliar la fundamentación teórica.,avance_15.pdf,2026-05-05
16,41,1,Borrador parcial,2026-04-30,Pendiente,Revisión registrada por el docente tutor.,avance_16.pdf,2026-05-05
17,98,5,Capítulo III,2026-04-18,Corregido,Debe mejorar redacción y coherencia.,avance_17.pdf,2026-04-28
18,192,1,Capítulo II,2026-05-02,Pendiente,Documento revisado con observaciones menores.,avance_18.pdf,2026-05-12
19,171,3,Capítulo III,2026-03-13,Entregado,Revisión registrada por el docente tutor.,avance_19.pdf,2026-03-21
20,22,3,Capítulo I,2026-06-21,Corregido,Documento revisado con observaciones menores.,avance_20.pdf,2026-06-24
21,5,2,Capítulo III,2026-04-11,Pendiente,Avance aceptado para continuar el proceso.,avance_21.pdf,2026-04-17
22,43,5,Capítulo I,2026-05-10,Pendiente,Se recomienda ampliar la fundamentación teórica.,avance_22.pdf,2026-05-13
23,165,1,Capítulo III,2026-03-31,Corregido,Documento revisado con observaciones menores.,avance_23.pdf,2026-04-09
24,119,5,Borrador final,2026-04-06,Corregido,Debe mejorar redacción y coherencia.,avance_24.pdf,2026-04-16
25,138,2,Capítulo III,2026-05-30,Corregido,Documento revisado con observaciones menores.,avance_25.pdf,2026-06-06
26,32,6,Trabajo final,2026-05-05,Observado,Debe mejorar redacción y coherencia.,avance_26.pdf,2026-05-14
27,66,4,Capítulo III,2026-04-12,Entregado,Revisión registrada por el docente tutor.,avance_27.pdf,2026-04-15
28,85,2,Trabajo final,2026-05-30,Corregido,Se recomienda ampliar la fundamentación teórica.,avance_28.pdf,2026-06-02
29,147,2,Borrador final,2026-06-29,Observado,Revisión registrada por el docente tutor.,avance_29.pdf,2026-06-30
30,56,3,Capítulo I,2026-06-03,Observado,Se recomienda ampliar la fundamentación teórica.,avance_30.pdf,2026-06-04
31,22,5,Trabajo final,2026-05-13,Entregado,Revisión registrada por el docente tutor.,avance_31.pdf,2026-05-17
32,54,6,Trabajo final,2026-03-11,Pendiente,Debe mejorar redacción y coherencia.,avance_32.pdf,2026-03-13
33,124,1,Capítulo III,2026-06-30,Observado,Debe mejorar redacción y coherencia.,avance_33.pdf,2026-07-01
34,141,2,Borrador parcial,2026-07-08,Pendiente,Avance aceptado para continuar el proceso.,avance_34.pdf,2026-07-17
35,96,2,Propuesta de tema,2026-04-28,Pendiente,Se recomienda ampliar la fundamentación teórica.,avance_35.pdf,2026-05-03
